City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
336,Puerto Madryn,AR,79.36,scattered clouds,-42.7692,-65.0385,Hotel Gran Palace
342,Quatre Cocos,MU,76.08,scattered clouds,-20.2078,57.7625,Horisun
343,Jaguarao,BR,75.11,overcast clouds,-32.5661,-53.3758,Hotel Sinuelo
345,Lawigan,PH,77.47,broken clouds,10.487,122.0354,The Assemblage Point Resort and Convention Hub
347,Maragogi,BR,79.05,few clouds,-9.0122,-35.2225,Pousada Mariluz
349,Gualeguaychu,AR,76.89,overcast clouds,-33.0094,-58.5172,Praga
360,Manama,BH,72.93,clear sky,26.2154,50.5832,Hotel Mansouri Mansions
365,Neiafu,TO,84.88,broken clouds,-18.65,-173.9833,Port Wine Guest House
367,Linden,GY,77.68,overcast clouds,6.0,-58.3,Watooka Guest House
373,Pisco,PE,77.05,smoke,-13.7,-76.2167,La Portada
378,Fare,PF,82.65,few clouds,-16.7,-151.0167,hôtel Maitai Lapita Village
381,Dabakala,CI,82.42,overcast clouds,8.3667,-4.4333,Hôtel Résidence les villages
387,Tutoia,BR,77.52,moderate rain,-2.7619,-42.2744,Pousada San Vicente
390,Pangai,TO,84.31,few clouds,-19.8,-174.35,Billy's Place
391,Acajutla,SV,85.32,clear sky,13.5928,-89.8275,Hotel Lara
396,Kathu,TH,86.7,broken clouds,7.9178,98.3332,B&B NAMO PHUKET
405,Diffa,NE,81.79,scattered clouds,13.3154,12.6113,UNHCR guest house
406,Adeje,ES,74.1,clear sky,28.1227,-16.726,Royal Garden Villas
413,Alta Floresta,BR,73.11,broken clouds,-9.8756,-56.0861,Villas Hotel
417,Hervey Bay,AU,74.84,clear sky,-25.2986,152.8535,Hervey Bay Hotel
418,Valparaiso,CL,70.03,clear sky,-33.0393,-71.6273,Ibis Hotel
420,Sao Gabriel Da Cachoeira,BR,82.76,overcast clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
423,Itarema,BR,78.06,light rain,-2.9248,-39.9167,Pousada Oásis
424,Lujan,AR,76.01,overcast clouds,-34.5703,-59.105,Bella vita
427,Piacabucu,BR,79.29,few clouds,-10.4056,-36.4344,O Leão
429,Sampang,ID,78.3,overcast clouds,-7.1872,113.2394,Hotel Trunojoyo (PKPRI)
431,Eyl,SO,80.64,few clouds,7.9803,49.8164,فندق ايل دابي
442,Port Blair,IN,78.24,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
444,Kismayo,SO,81.66,overcast clouds,-0.3582,42.5454,Kismayo Hotel
457,Ratnagiri,IN,75.09,clear sky,16.9833,73.3,Vihar
458,Gizo,SB,83.07,overcast clouds,-8.103,156.8419,Gizo Hotel
461,Pecos,US,70.25,scattered clouds,31.4229,-103.4932,Holiday Inn Express & Suites Pecos
466,San Antero,CO,83.12,few clouds,9.3741,-75.7589,Cispata Marina Hotel
469,Santa Rosa,PH,82.38,scattered clouds,14.3122,121.1114,JARS RESORT
470,Acapulco,MX,85.82,few clouds,16.8634,-99.8901,Hotel del Valle
473,Los Banos,PH,81.09,scattered clouds,14.1667,121.1833,Palmridge Private Resort
474,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Terra Sur
480,Sakhon Nakhon,TH,80.74,clear sky,17.1612,104.1472,Imperial Sakon Hotel
486,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
496,Santa Luzia,BR,82.74,clear sky,-19.7697,-43.8514,Alcoboca
499,Jeremie,HT,78.3,scattered clouds,18.65,-74.1167,Delivrance Hotel
504,Chengannur,IN,74.82,overcast clouds,9.3333,76.6333,Saradhy Hotel
510,Port-Gentil,GA,78.76,thunderstorm,-0.7193,8.7815,Tara-Mé
518,Padang,ID,76.08,overcast clouds,-0.9492,100.3543,losmen Surya
527,Veraval,IN,73.33,clear sky,20.9,70.3667,Shyam
530,Capinopolis,BR,78.49,broken clouds,-18.6819,-49.5697,Hotel Di Roma
543,Chimbote,PE,79.92,overcast clouds,-9.0853,-78.5783,Hostal Diamante Chimbote
548,Teshie,GH,77.56,clear sky,5.5836,-0.1072,Ingot Hotel
555,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
559,Humaita,BR,76.84,overcast clouds,-7.5061,-63.0208,Humaita Quality Hotel
561,Saint-Paul,RE,75.31,overcast clouds,-21.0096,55.2707,Hôtel d'application
564,Galle,LK,77.61,broken clouds,6.0367,80.217,Jungle Hostel Villa
569,Miandrivazo,MG,77.56,light rain,-19.5167,45.4667,Baobab
572,Havelock,US,80.56,clear sky,34.8791,-76.9013,Quality Inn Havelock Hwy 70
581,Ongole,IN,80.22,few clouds,15.5,80.05,KOLAS Hotel
585,Cap Malheureux,MU,76.46,scattered clouds,-19.9842,57.6142,Cape Garden
592,Nabire,ID,76.12,overcast clouds,-3.3667,135.4833,Hotel Anggrek
593,Odienne,CI,80.64,broken clouds,9.51,-7.5692,Hotel Frontière
594,Pemangkat,ID,76.5,light rain,1.1667,108.9667,Hotel Kelapa Gading
595,Ko Samui,TH,78.71,few clouds,9.5357,99.9357,Nathon Residence
597,Mitsamiouli,KM,80.83,light rain,-11.3847,43.2844,Hotel le Paradis
598,Odweyne,SO,75.22,broken clouds,9.4092,45.064,فندق المدينه
599,Angoche,MZ,75.97,broken clouds,-16.2325,39.9086,Hotel Quirimbas
601,Tual,ID,83.39,scattered clouds,-5.6667,132.75,Suita
604,Salgueiro,BR,81.28,broken clouds,-8.0742,-39.1192,Mustang Hotel
606,Catanduva,BR,77.52,overcast clouds,-21.1378,-48.9728,Hotel Coimbra
610,Atar,MR,79.21,broken clouds,20.5169,-13.0499,فندق سكليل
616,Iquitos,PE,82.44,scattered clouds,-3.7481,-73.2472,Marfil del Amazonas
621,Dawei,MM,70.5,scattered clouds,14.0833,98.2,Royal Dawei ဟိုတယ်
628,Pimentel,PE,84.49,scattered clouds,-6.8367,-79.9342,Hospedaje Calle del Sol
630,Amuntai,ID,73.11,overcast clouds,-2.4177,115.2494,Grand Balqis Hotel
634,Tocopilla,CL,71.71,clear sky,-22.092,-70.1979,hotel Isidora
637,Pinar Del Rio,CU,82.17,light rain,22.4175,-83.6981,Hotel Vueltabajo
641,Ca Mau,VN,74.23,clear sky,9.1769,105.15,Khách sạn Song Ngọc
643,Port Macquarie,AU,72.9,moderate rain,-31.4333,152.9167,The Observatory
652,Kokopo,PG,81.28,overcast clouds,-4.352,152.2633,Hotel Kokopo
675,Mambajao,PH,79.11,broken clouds,9.2504,124.7156,GV Hotel Camigun
678,Sibolga,ID,75.31,overcast clouds,1.7427,98.7792,Hotel Prima Indah
684,Kimbe,PG,81.57,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
