City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
144,Ostrovnoy,RU,68.0531,39.5131,11.07,92,82,9.24,broken clouds
145,Vigevano,IT,45.3117,8.8611,57.78,76,99,2.89,overcast clouds
146,Zambezi,ZM,-13.5432,23.1047,65.28,97,100,4.83,light rain
147,Te Anau,NZ,-45.4167,167.7167,54.36,95,99,1.66,overcast clouds
148,Georgetown,MY,5.4112,100.3354,80.53,78,20,2.3,few clouds
149,Redmond,US,47.674,-122.1215,48.33,71,100,13.0,overcast clouds
150,Sola,VU,-13.8833,167.55,81.37,72,73,6.73,broken clouds
151,Norman Wells,CA,65.282,-126.8329,22.86,87,73,5.08,broken clouds
152,Thompson,CA,55.7435,-97.8558,21.09,86,100,10.36,overcast clouds
153,Poronaysk,RU,49.2167,143.1167,16.14,80,3,7.02,clear sky
154,Iqaluit,CA,63.7506,-68.5145,-4.31,70,100,1.99,overcast clouds
155,Pingliang,CN,35.5392,106.6861,38.82,60,98,1.34,overcast clouds
156,Fort-Shevchenko,KZ,44.5086,50.263,52.18,65,72,9.24,broken clouds
157,Maxixe,MZ,-23.8597,35.3472,74.75,77,96,7.36,overcast clouds
158,Severo-Kurilsk,RU,50.6789,156.125,23.0,80,99,36.42,light snow
159,Omsukchan,RU,62.5333,155.8,-17.12,95,67,4.99,broken clouds
160,Bethel,US,41.3712,-73.414,53.76,42,0,8.05,clear sky
161,Calvinia,ZA,-31.4707,19.776,59.11,64,0,4.76,clear sky
162,Bembibre,ES,42.6177,-6.4155,46.06,84,1,1.01,clear sky
163,Christchurch,NZ,-43.5333,172.6333,66.42,78,99,5.75,overcast clouds
164,Viedma,AR,-40.8135,-62.9967,78.4,40,61,7.74,broken clouds
165,Ostrowiec Swietokrzyski,PL,50.9294,21.3853,56.68,69,100,10.63,overcast clouds
166,Sakaiminato,JP,35.55,133.2333,51.73,79,100,17.18,light rain
167,Tiznit,MA,29.5833,-9.5,70.14,22,0,1.01,clear sky
168,Longyearbyen,SJ,78.2186,15.6401,3.04,60,20,4.61,few clouds
169,Natal,BR,-5.795,-35.2094,81.25,83,40,8.05,scattered clouds
170,Poum,NC,-20.2333,164.0167,78.85,72,99,6.22,overcast clouds
171,Letterkenny,IE,54.95,-7.7333,43.57,90,92,8.88,overcast clouds
172,Katsuura,JP,35.1333,140.3,56.39,89,100,25.5,light rain
173,Srivardhan,IN,18.0333,73.0167,75.34,74,0,9.75,clear sky
174,Ullapool,GB,57.8987,-5.1604,43.45,90,100,7.85,overcast clouds
175,Ardrishaig,GB,56.0157,-5.4481,44.19,93,100,6.98,overcast clouds
176,Concepcion,CL,-36.827,-73.0498,69.6,56,0,16.11,clear sky
177,Ahipara,NZ,-35.1667,173.1667,66.78,55,2,3.91,clear sky
178,Cabedelo,BR,-6.9811,-34.8339,81.27,81,45,8.43,scattered clouds
179,Avera,US,33.194,-82.5271,84.25,46,4,12.3,clear sky
180,Matagami,CA,49.7502,-77.6328,27.75,79,100,4.14,overcast clouds
181,Tura,IN,25.5198,90.2201,65.3,71,0,3.87,clear sky
182,Skibbereen,IE,51.55,-9.2667,47.41,81,16,27.89,few clouds
183,Upernavik,GL,72.7868,-56.1549,-15.84,93,24,3.27,few clouds
184,Namatanai,PG,-3.6667,152.4333,82.18,70,91,4.07,overcast clouds
185,Mar Del Plata,AR,-38.0023,-57.5575,71.1,85,76,5.75,broken clouds
186,Kaitangata,NZ,-46.2817,169.8464,52.54,95,100,7.27,light rain
187,Cayenne,GF,4.9333,-52.3333,80.64,74,0,8.05,clear sky
188,Waingapu,ID,-9.6567,120.2641,78.28,84,91,2.24,overcast clouds
189,Banda Aceh,ID,5.5577,95.3222,78.33,82,100,3.8,overcast clouds
190,Kutum,SD,14.2,24.6667,75.78,20,6,10.67,clear sky
191,Half Moon Bay,US,37.4636,-122.4286,61.02,55,0,23.02,clear sky
192,Saco,US,43.5009,-70.4428,46.15,47,40,16.11,scattered clouds
193,Khartoum,SD,15.5518,32.5324,88.92,12,94,6.91,overcast clouds
194,Saint-Georges,GD,12.0564,-61.7485,80.28,69,20,13.8,few clouds
195,Faya,SA,18.3851,42.4509,55.92,61,1,4.29,clear sky
196,Adelaide,AU,-34.9333,138.6,61.43,68,20,5.99,few clouds
197,Nikolskoye,RU,59.7035,30.7861,40.91,91,100,7.07,moderate rain
198,Mnogovershinnyy,RU,53.9353,139.9242,6.51,84,16,6.82,few clouds
199,Reftinskiy,RU,57.0901,61.6769,36.07,89,15,10.85,few clouds
200,Srednekolymsk,RU,67.45,153.6833,-18.54,97,41,1.83,scattered clouds
201,Hurghada,EG,27.2574,33.8129,69.76,59,46,5.48,scattered clouds
202,Arraial Do Cabo,BR,-22.9661,-42.0278,77.56,86,13,12.95,few clouds
